country_name,type,product,flow,year,value,price,percentChange,change,price_ma,month,quarter,dayofweek,Country Name,Country Code,country_value
Iceland,Balance,Crude oil,Industrial Production,2021,0.0,59.16,-3.805,-2.34,57.620000000000005,3,1,0,Iceland,ISL,5.4
Iceland,Balance,Crude oil,Industrial Production,2021,0.0,63.58,7.471,4.42,61.41333333333333,4,2,3,Iceland,ISL,5.4
Iceland,Balance,Crude oil,Industrial Production,2021,0.0,66.93,5.269,3.35,63.223333333333336,5,2,5,Iceland,ISL,5.4
Iceland,Balance,Crude oil,Industrial Production,2021,0.0,73.47,9.771,6.54,67.99333333333334,6,2,1,Iceland,ISL,5.4
Iceland,Balance,Crude oil,Industrial Production,2021,0.0,73.95,0.653,0.48,71.45,7,3,3,Iceland,ISL,5.4
Iceland,Balance,Crude oil,Industrial Production,2021,0.0,68.5,-7.37,-5.45,71.97333333333334,8,3,6,Iceland,ISL,5.4
Iceland,Balance,Crude oil,Industrial Production,2021,0.0,75.03,9.533,6.53,72.49333333333333,9,3,2,Iceland,ISL,5.4
Iceland,Balance,Crude oil,Industrial Production,2021,0.0,81.78,8.996,6.75,75.10333333333334,10,4,4,Iceland,ISL,5.4
Iceland,Balance,Crude oil,Industrial Production,2021,0.0,65.85,-19.479,-15.93,74.22,11,4,0,Iceland,ISL,5.4
Iceland,Balance,Crude oil,Industrial Production,2021,0.0,74.88,13.713,9.03,74.17,12,4,2,Iceland,ISL,5.4
Ireland,Balance,Crude oil,Industrial Production,2021,0.0,52.2,7.585,3.68,48.68666666666667,1,1,4,Ireland,IRL,6.63
Ireland,Balance,Crude oil,Industrial Production,2021,0.0,61.5,17.816,9.3,54.07333333333335,2,1,0,Ireland,IRL,6.63
Ireland,Balance,Crude oil,Industrial Production,2021,0.0,59.16,-3.805,-2.34,57.620000000000005,3,1,0,Ireland,IRL,6.63
Ireland,Balance,Crude oil,Industrial Production,2021,0.0,63.58,7.471,4.42,61.41333333333333,4,2,3,Ireland,IRL,6.63
Ireland,Balance,Crude oil,Industrial Production,2021,0.0,66.93,5.269,3.35,63.223333333333336,5,2,5,Ireland,IRL,6.63
Ireland,Balance,Crude oil,Industrial Production,2021,0.0,73.47,9.771,6.54,67.99333333333334,6,2,1,Ireland,IRL,6.63
Ireland,Balance,Crude oil,Industrial Production,2021,0.0,73.95,0.653,0.48,71.45,7,3,3,Ireland,IRL,6.63
Ireland,Balance,Crude oil,Industrial Production,2021,0.0,68.5,-7.37,-5.45,71.97333333333334,8,3,6,Ireland,IRL,6.63
Ireland,Balance,Crude oil,Industrial Production,2021,0.0,75.03,9.533,6.53,72.49333333333333,9,3,2,Ireland,IRL,6.63
Ireland,Balance,Crude oil,Industrial Production,2021,0.0,81.78,8.996,6.75,75.10333333333334,10,4,4,Ireland,IRL,6.63
Ireland,Balance,Crude oil,Industrial Production,2021,0.0,65.85,-19.479,-15.93,74.22,11,4,0,Ireland,IRL,6.63
Ireland,Balance,Crude oil,Industrial Production,2021,0.0,74.88,13.713,9.03,74.17,12,4,2,Ireland,IRL,6.63
Israel,Balance,Crude oil,Industrial Production,2021,168.0,52.2,7.585,3.68,48.68666666666667,1,1,4,Israel,ISR,5.05
Israel,Balance,Crude oil,Industrial Production,2021,168.0,61.5,17.816,9.3,54.07333333333335,2,1,0,Israel,ISR,5.05
Israel,Balance,Crude oil,Industrial Production,2021,168.0,59.16,-3.805,-2.34,57.620000000000005,3,1,0,Israel,ISR,5.05
Israel,Balance,Crude oil,Industrial Production,2021,168.0,63.58,7.471,4.42,61.41333333333333,4,2,3,Israel,ISR,5.05
Israel,Balance,Crude oil,Industrial Production,2021,168.0,66.93,5.269,3.35,63.223333333333336,5,2,5,Israel,ISR,5.05
Israel,Balance,Crude oil,Industrial Production,2021,168.0,73.47,9.771,6.54,67.99333333333334,6,2,1,Israel,ISR,5.05
Israel,Balance,Crude oil,Industrial Production,2021,168.0,73.95,0.653,0.48,71.45,7,3,3,Israel,ISR,5.05
Israel,Balance,Crude oil,Industrial Production,2021,168.0,68.5,-7.37,-5.45,71.97333333333334,8,3,6,Israel,ISR,5.05
Israel,Balance,Crude oil,Industrial Production,2021,168.0,75.03,9.533,6.53,72.49333333333333,9,3,2,Israel,ISR,5.05
Israel,Balance,Crude oil,Industrial Production,2021,168.0,81.78,8.996,6.75,75.10333333333334,10,4,4,Israel,ISR,5.05
Israel,Balance,Crude oil,Industrial Production,2021,168.0,65.85,-19.479,-15.93,74.22,11,4,0,Israel,ISR,5.05
Israel,Balance,Crude oil,Industrial Production,2021,168.0,74.88,13.713,9.03,74.17,12,4,2,Israel,ISR,5.05
Italy,Balance,Crude oil,Industrial Production,2021,5831.078,52.2,7.585,3.68,48.68666666666667,1,1,4,Italy,ITA,9.83
Italy,Balance,Crude oil,Industrial Production,2021,5831.078,61.5,17.816,9.3,54.07333333333335,2,1,0,Italy,ITA,9.83
Italy,Balance,Crude oil,Industrial Production,2021,5831.078,59.16,-3.805,-2.34,57.620000000000005,3,1,0,Italy,ITA,9.83
Italy,Balance,Crude oil,Industrial Production,2021,5831.078,63.58,7.471,4.42,61.41333333333333,4,2,3,Italy,ITA,9.83
Italy,Balance,Crude oil,Industrial Production,2021,5831.078,66.93,5.269,3.35,63.223333333333336,5,2,5,Italy,ITA,9.83
Italy,Balance,Crude oil,Industrial Production,2021,5831.078,73.47,9.771,6.54,67.99333333333334,6,2,1,Italy,ITA,9.83
Italy,Balance,Crude oil,Industrial Production,2021,5831.078,73.95,0.653,0.48,71.45,7,3,3,Italy,ITA,9.83
Italy,Balance,Crude oil,Industrial Production,2021,5831.078,68.5,-7.37,-5.45,71.97333333333334,8,3,6,Italy,ITA,9.83
Italy,Balance,Crude oil,Industrial Production,2021,5831.078,75.03,9.533,6.53,72.49333333333333,9,3,2,Italy,ITA,9.83
Italy,Balance,Crude oil,Industrial Production,2021,5831.078,81.78,8.996,6.75,75.10333333333334,10,4,4,Italy,ITA,9.83
Italy,Balance,Crude oil,Industrial Production,2021,5831.078,65.85,-19.479,-15.93,74.22,11,4,0,Italy,ITA,9.83
Italy,Balance,Crude oil,Industrial Production,2021,5831.078,74.88,13.713,9.03,74.17,12,4,2,Italy,ITA,9.83
Japan,Balance,Crude oil,Industrial Production,2021,383.249,52.2,7.585,3.68,48.68666666666667,1,1,4,Japan,JPN,2.8
